timelst,entropy_for_whole_project,NumEliteUser,NumPeripheralUser,RatioEliteUser,ProjectAge,NumOpenIssue,NumOpenPull,IssueAvgEvent,UserAvgEvent,entropy_for_peripheral_developer,entropy_for_whole_project_standard,NumEliteUser_standard,NumPeripheralUser_standard,RatioEliteUser_standard,projectAge_standard,NumOpenIssue_standard,NumOpenPull_standard,IssueAvgEvent_standard,UserAvgEvent_standard,entropy_for_peripheral_developer_standard
2009-04-01,2.0,0,0,0.0,1556,14,0,1.0,0.0,1.0,-1.1932778794773216,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7314931109388962,-1.5789312285257815,-1.3266780756391674,-1.3064432590665331,-1.7331728738328185,-0.92787832318062
2009-04-02,0.0,0,0,0.0,1557,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7307495021302473,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-03,0.0,0,0,0.0,1558,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7300058933215985,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-04,0.0,0,0,0.0,1559,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7292622845129495,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-05,0.0,0,0,0.0,1560,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7285186757043007,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-06,0.0,0,0,0.0,1561,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.727775066895652,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-07,0.0,0,0,0.0,1562,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.727031458087003,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-08,0.0,0,0,0.0,1563,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7262878492783542,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-09,0.0,0,0,0.0,1564,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7255442404697052,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
2009-04-10,0.0,0,0,0.0,1565,14,0,0.0,0.0,0.0,-1.1996560107934715,-1.380339415370207,-1.9096186983139745,-1.3811397658993911,-1.7248006316610565,-1.5789312285257815,-1.3266780756391674,-1.7923964833744253,-1.7331728738328185,-0.9368187609418752
